Id,Number,Name,Latitude,Longitude,District,Public,Total docks
97,M32038,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36920617,-71.11710638,Cambridge,Yes,21
129,D32026,Hayes Square - Vine St at Moulton St,42.377022,-71.056605,Boston,Yes,19
401,K32010,High St at Cypress St,42.32464511,-71.12135231,Brookline,Yes,15
14,B32003,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741748,-71.10286117,Boston,Yes,25
376,A32040,Honan Library,42.3602737,-71.12852452,Boston,Yes,15
331,B32033,Huntington Ave at Mass Art,42.33658555,-71.09886996,Boston,Yes,15
181,M32044,Huron Ave At Vassal Lane,42.38165061,-71.13426981,Cambridge,Yes,19
,C32100,Hyde Park Ave at Arlington St,42.26286746,-71.12163126,Boston,Yes,19
442,C32089,Hyde Park Ave at Walk Hill St,42.29606705,-71.116012,Boston,Yes,15
125,E32003,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,Boston,Yes,15
135,C32020,ID Building East,42.344827,-71.028664,Boston,Yes,17
136,C32021,ID Building West,42.344796,-71.031614,Boston,Yes,19
152,C32025,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Boston,Yes,15
381,M32062,Inman Square at Springfield St.,42.37426714,-71.10026479,Cambridge,Yes,25
29,A32011,Innovation Lab - 125 Western Ave at Batten Way,42.36371276,-71.12459779,Boston,Yes,19
131,E32006,Jackson Square T Stop,42.32293117,-71.10014141,Boston,Yes,18
424,D32052,Jamaica St at South St,42.30604563,-71.11570891,Boston,Yes,19
103,K32004,JFK Crossing at Harvard St. / Thorndike St.,42.34655124,-71.12833211,Brookline,Yes,15
93,C32013,JFK/UMass T Stop,42.32033974,-71.05118036,Boston,Yes,15
,V32013,Kearins Playground,42.40616124,-71.06041655,Everett,Yes,11
141,M32032,Kendall Street,42.36356016,-71.08216792,Cambridge,Yes,15
189,M32004,Kendall T,42.36242784,-71.08495474,Cambridge,Yes,23
33,B32010,Kenmore Square,42.348706,-71.097009,Boston,Yes,27
413,M32065,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,Cambridge,Yes,19
,C32096,Knoll St at Centre St,42.29376656,-71.1365658,Boston,Yes,19
,T32006,Lafayette at Leach St,42.51142784,-70.89183301,Salem,Yes,11
75,M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,Cambridge,Yes,15
32,B32015,Landmark Center - Brookline Ave at Park Dr,42.34369056,-71.10235287,Boston,Yes,15
,N32008,Langley Lot,42.330528,-71.192861,Newton,Yes,11
400,B32058,Lansdowne T Stop,42.34734473,-71.10016808,Boston,Yes,27
90,M32001,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,Cambridge,Yes,19
176,M32039,Lesley University,42.38674802,-71.11901879,Cambridge,Yes,15
40,D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Boston,Yes,19
118,M32025,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,Cambridge,Yes,19
,L32002,Linwood St at Minuteman Bikeway,42.40935396,-71.14906519,Arlington,Yes,11
11,A32004,Longwood Ave at Binney St,42.338629,-71.1065,Boston,Yes,15
105,M32022,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,Cambridge,Yes,19
137,S32013,Magoun Square at Trum Field,42.3977834,-71.10594004,Somerville,Yes,19
94,D32020,Main St at Austin St,42.375603,-71.064608,Boston,Yes,11
280,D32036,Main St at Baldwin St,42.380857,-71.070629,Boston,Yes,19
327,D32038,Main St at Thompson Sq,42.37487847,-71.06383499,Boston,Yes,15
403,K32012,Marion St at Harvard St,42.34012243,-71.12070564,Brookline,Yes,15
,A32048,Marion St at White St,42.38066931,-71.03907316,Boston,Yes,0
,E32012,Martha Eliot Health Center,42.324173,-71.10196,Boston,Yes,16
380,M32061,Mass Ave at Albany St,42.36135838,-71.09670274,Cambridge,Yes,18
,L32006,Mass Ave at Broadway,42.41420213,-71.15051883,Arlington,Yes,11
,L32003,Mass Ave at Grafton St,42.40726052,-71.14382132,Arlington,Yes,11
334,M32056,Mass Ave at Hadley/Walden,42.39120972,-71.12260755,Cambridge,Yes,19
404,C32063,Mass Ave T Station,42.34135616,-71.08336953,Boston,Yes,16
57,C32004,Massachusetts Ave at Columbus Ave,42.33949454,-71.08020781,Boston,Yes,14
353,C32050,Mattapan Library,42.2773889,-71.09325,Boston,Yes,15
336,C32045,Mattapan T Stop,42.267902,-71.093641,Boston,Yes,15
