tripduration,starttime,stoptime,start station id,end station id,bikeid,usertype,birth year,gender
743,2019-01-01 13:06:27.0800,2019-01-01 13:18:50.4130,137,115,3009,Subscriber,1965,1
1076,2019-01-01 13:06:47.5930,2019-01-01 13:24:43.9510,178,74,2882,Subscriber,1979,2
1035,2019-01-01 13:07:23.9740,2019-01-01 13:24:39.2080,178,74,4169,Subscriber,1994,1
640,2019-01-01 13:08:45.6400,2019-01-01 13:19:25.9940,97,19,4143,Subscriber,1958,1
227,2019-01-01 13:08:57.6370,2019-01-01 13:12:45.1680,68,178,3725,Subscriber,1994,1
681,2019-01-01 13:09:10.6470,2019-01-01 13:20:31.6740,360,16,2716,Customer,1969,0
635,2019-01-01 13:10:01.0640,2019-01-01 13:20:36.6680,30,57,4020,Subscriber,1991,1
252,2019-01-01 13:10:19.3480,2019-01-01 13:14:31.5520,74,108,4168,Subscriber,1993,1
722,2019-01-01 13:10:25.7070,2019-01-01 13:22:27.9500,76,228,2433,Subscriber,1953,2
1774,2019-01-01 13:10:54.4720,2019-01-01 13:40:29.0730,342,125,2384,Customer,1988,2
1749,2019-01-01 13:11:15.3720,2019-01-01 13:40:25.1650,342,125,2968,Customer,1988,2
3916,2019-01-01 13:11:35.6610,2019-01-01 14:16:51.8150,97,97,3926,Customer,1985,2
1914,2019-01-01 13:11:53.0110,2019-01-01 13:43:47.0680,97,178,2236,Customer,1993,1
975,2019-01-01 13:12:09.5970,2019-01-01 13:28:24.8060,68,235,2643,Customer,1987,1
1873,2019-01-01 13:12:21.1110,2019-01-01 13:43:34.9090,97,178,4028,Customer,1993,1
3773,2019-01-01 13:12:47.2710,2019-01-01 14:15:40.4570,97,97,4023,Customer,1982,1
602,2019-01-01 13:13:34.0490,2019-01-01 13:23:36.8090,162,27,3545,Subscriber,1987,1
2178,2019-01-01 13:13:47.3960,2019-01-01 13:50:06.0450,370,97,3816,Customer,1991,1
2169,2019-01-01 13:13:51.8720,2019-01-01 13:50:01.4800,370,97,2086,Customer,1991,1
1838,2019-01-01 13:16:44.7080,2019-01-01 13:47:22.9170,370,97,3924,Customer,1969,0
1749,2019-01-01 13:17:46.3290,2019-01-01 13:46:55.8360,370,97,3681,Customer,1969,0
382,2019-01-01 13:17:48.7970,2019-01-01 13:24:11.1410,189,68,2397,Subscriber,1983,2
978,2019-01-01 13:17:54.7580,2019-01-01 13:34:13.5280,51,3,4094,Subscriber,1987,2
416,2019-01-01 13:19:10.5650,2019-01-01 13:26:07.4320,377,110,2916,Customer,1969,0
1454,2019-01-01 13:19:26.4720,2019-01-01 13:43:40.9580,377,224,2488,Subscriber,1996,1
1133,2019-01-01 13:21:27.9840,2019-01-01 13:40:21.8910,118,96,4503,Subscriber,1990,2
1133,2019-01-01 13:21:29.3230,2019-01-01 13:40:22.6950,118,96,4501,Subscriber,1989,1
108,2019-01-01 13:24:30.3870,2019-01-01 13:26:18.5910,14,11,2352,Subscriber,1990,1
244,2019-01-01 13:24:59.4090,2019-01-01 13:29:03.4610,68,67,2397,Subscriber,1992,1
1055,2019-01-01 13:25:40.6320,2019-01-01 13:43:15.6670,33,138,3652,Subscriber,1995,1
441,2019-01-01 13:26:04.3050,2019-01-01 13:33:25.5330,149,89,3538,Subscriber,1987,1
1641,2019-01-01 13:26:30.6810,2019-01-01 13:53:52.0200,15,178,2665,Subscriber,1989,2
1752,2019-01-01 13:28:27.4570,2019-01-01 13:57:39.8450,107,97,3695,Customer,1969,0
1739,2019-01-01 13:28:38.1950,2019-01-01 13:57:38.0840,107,97,3384,Customer,1969,0
890,2019-01-01 13:28:57.0420,2019-01-01 13:43:47.8560,110,224,4361,Customer,1969,0
1594,2019-01-01 13:31:18.5800,2019-01-01 13:57:53.3050,107,97,4090,Customer,1969,0
1565,2019-01-01 13:31:16.9740,2019-01-01 13:57:22.8550,107,97,2780,Customer,1969,0
1131,2019-01-01 13:33:22.0100,2019-01-01 13:52:13.5640,342,26,3546,Subscriber,1996,1
705,2019-01-01 13:37:06.7070,2019-01-01 13:48:52.2640,80,88,3863,Subscriber,1988,1
1192,2019-01-01 13:37:05.4880,2019-01-01 13:56:57.7900,189,3,4389,Subscriber,1986,2
1183,2019-01-01 13:37:09.3360,2019-01-01 13:56:53.0110,189,3,4516,Subscriber,1989,1
536,2019-01-01 13:40:39.1400,2019-01-01 13:49:35.3450,117,68,3520,Subscriber,1992,2
1593,2019-01-01 13:41:13.7880,2019-01-01 14:07:46.8110,376,58,3131,Subscriber,1990,2
236,2019-01-01 13:41:16.5050,2019-01-01 13:45:12.9630,376,29,2862,Subscriber,1995,2
440,2019-01-01 13:42:17.2300,2019-01-01 13:49:37.9360,80,68,4142,Subscriber,1997,2
771,2019-01-01 13:42:17.1920,2019-01-01 13:55:08.4820,51,12,2647,Subscriber,1960,1
1875,2019-01-01 13:43:26.0450,2019-01-01 14:14:41.5050,189,97,2141,Customer,1969,0
385,2019-01-01 13:44:08.3930,2019-01-01 13:50:33.9390,68,107,4026,Subscriber,1958,1
269,2019-01-01 13:44:53.5240,2019-01-01 13:49:22.9230,149,17,4539,Subscriber,1992,1
1273,2019-01-01 13:46:34.7450,2019-01-01 14:07:48.7080,29,58,4167,Subscriber,1995,2
1132,2019-01-01 13:47:06.6950,2019-01-01 14:05:58.8840,80,361,3448,Subscriber,1989,2
1792,2019-01-01 13:49:58.8020,2019-01-01 14:19:50.8690,115,145,3473,Subscriber,1984,1
1011,2019-01-01 13:50:45.9380,2019-01-01 14:07:37.6550,91,73,3379,Customer,1992,2
854,2019-01-01 13:51:26.5250,2019-01-01 14:05:41.3730,68,58,3684,Subscriber,1985,1
846,2019-01-01 13:51:42.6750,2019-01-01 14:05:49.1350,80,361,2012,Customer,1969,0
304,2019-01-01 13:52:20.5730,2019-01-01 13:57:25.1580,359,11,3554,Subscriber,1995,1
1742,2019-01-01 13:52:49.7840,2019-01-01 14:21:52.6950,131,16,4213,Customer,1969,0
1725,2019-01-01 13:52:59.0990,2019-01-01 14:21:44.4000,131,16,4015,Customer,1969,0
729,2019-01-01 13:53:28.5330,2019-01-01 14:05:38.2480,80,361,2565,Customer,1969,0
1008,2019-01-01 13:54:49.2270,2019-01-01 14:11:37.5480,76,107,4208,Customer,1984,2
341,2019-01-01 13:55:08.2820,2019-01-01 14:00:50.2790,67,68,4062,Subscriber,1989,1
309,2019-01-01 13:55:43.6200,2019-01-01 14:00:52.6730,178,68,2665,Subscriber,1993,2
582,2019-01-01 13:58:53.9840,2019-01-01 14:08:36.5330,12,51,2647,Subscriber,1960,1
526,2019-01-01 13:59:14.0880,2019-01-01 14:08:01.0750,68,185,3520,Subscriber,1983,2
1191,2019-01-01 14:00:18.5020,2019-01-01 14:20:09.7540,193,193,3116,Customer,1969,0
4093,2019-01-01 14:00:47.7700,2019-01-01 15:09:01.1440,19,58,2706,Subscriber,1988,2
4072,2019-01-01 14:00:47.9460,2019-01-01 15:08:40.3260,19,58,4143,Subscriber,1986,2
290,2019-01-01 14:01:18.8000,2019-01-01 14:06:08.9080,68,178,4142,Subscriber,1991,1
249,2019-01-01 14:01:39.5560,2019-01-01 14:05:49.2870,221,73,3607,Subscriber,1985,1
308,2019-01-01 14:03:29.3300,2019-01-01 14:08:38.1650,108,115,4168,Customer,1989,1
540,2019-01-01 14:05:54.8070,2019-01-01 14:14:55.2710,330,76,3303,Subscriber,1995,1
554,2019-01-01 14:06:25.7330,2019-01-01 14:15:40.0610,115,137,2272,Subscriber,1965,1
1766,2019-01-01 14:13:21.6640,2019-01-01 14:42:48.6610,10,6,2090,Customer,1986,1
380,2019-01-01 14:13:56.7240,2019-01-01 14:20:17.3710,115,104,4168,Subscriber,1962,2
293,2019-01-01 14:16:28.1830,2019-01-01 14:21:21.9450,68,88,3240,Subscriber,1989,1
724,2019-01-01 14:16:29.7920,2019-01-01 14:28:34.0250,105,70,3432,Subscriber,1957,1
854,2019-01-01 14:19:47.4840,2019-01-01 14:34:02.1000,90,74,4199,Subscriber,1995,1
